date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:45:08	126/126	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2007%20Jul%202018%2016:15:08%20GMT	http://jacqueline-html.themerex.net/robots.txt		(from )
21:45:08	121871/121871	---MCZ	200	added ('OK')	text/html	etag:W/%2259c91448-1dc0f%22	http://jacqueline-html.themerex.net/	C:/My%20Web%20Sites/spa/jacqueline-html.themerex.net/index.html	(from )
21:45:08	13909/13909	---MCZ	200	added ('OK')	text/css	etag:W/%2259c91448-3655%22	http://jacqueline-html.themerex.net/css/admin_icon.min.css	C:/My%20Web%20Sites/spa/jacqueline-html.themerex.net/css/admin_icon.min.css	(from http://jacqueline-html.themerex.net/)
21:45:09	23739/23739	---M-Z	200	added ('OK')	text/css	etag:%221518903977%22	http://maxcdn.bootstrapcdn.com/font-awesome/4.3.0/css/font-awesome.min.css?ver=4.3.0	C:/My%20Web%20Sites/spa/maxcdn.bootstrapcdn.com/font-awesome/4.3.0/css/font-awesome.minb2f9.css	(from http://jacqueline-html.themerex.net/)
21:45:09	30917/30917	---MCZ	200	added ('OK')	text/css	etag:W/%2259c91458-78c5%22	http://jacqueline-html.themerex.net/js/vendor/essgrid/esg.settings.css	C:/My%20Web%20Sites/spa/jacqueline-html.themerex.net/js/vendor/essgrid/esg.settings.css	(from http://jacqueline-html.themerex.net/)
21:45:09	39039/39039	---MCZ	200	added ('OK')	text/css	etag:W/%2259c9145a-987f%22	http://jacqueline-html.themerex.net/js/vendor/revslider/rev.settings.css	C:/My%20Web%20Sites/spa/jacqueline-html.themerex.net/js/vendor/revslider/rev.settings.css	(from http://jacqueline-html.themerex.net/)
21:45:09	17298/17298	---MCZ	200	added ('OK')	text/css	etag:W/%2259c91457-4392%22	http://jacqueline-html.themerex.net/css/fontello/css/fontello.css	C:/My%20Web%20Sites/spa/jacqueline-html.themerex.net/css/fontello/css/fontello.css	(from http://jacqueline-html.themerex.net/)
21:45:10	153562/153562	---MCZ	200	added ('OK')	text/css	etag:W/%225a3a4999-257da%22	http://jacqueline-html.themerex.net/css/style.css	C:/My%20Web%20Sites/spa/jacqueline-html.themerex.net/css/style.css	(from http://jacqueline-html.themerex.net/)
21:45:10	54310/54310	---MCZ	200	added ('OK')	text/css	etag:W/%2259c91449-d426%22	http://jacqueline-html.themerex.net/css/core.animation.css	C:/My%20Web%20Sites/spa/jacqueline-html.themerex.net/css/core.animation.css	(from http://jacqueline-html.themerex.net/)
21:45:11	143388/143388	---MCZ	200	added ('OK')	text/css	etag:W/%2259c91449-2301c%22	http://jacqueline-html.themerex.net/css/shortcodes.css	C:/My%20Web%20Sites/spa/jacqueline-html.themerex.net/css/shortcodes.css	(from http://jacqueline-html.themerex.net/)
21:45:11	1528/1528	---MCZ	200	added ('OK')	text/css	etag:W/%2259c91458-5f8%22	http://jacqueline-html.themerex.net/js/vendor/booked/booked.css	C:/My%20Web%20Sites/spa/jacqueline-html.themerex.net/js/vendor/booked/booked.css	(from http://jacqueline-html.themerex.net/)
21:45:11	313/313	---MCZ	200	added ('OK')	text/css	etag:W/%2259c91449-139%22	http://jacqueline-html.themerex.net/css/instagram-widget.css	C:/My%20Web%20Sites/spa/jacqueline-html.themerex.net/css/instagram-widget.css	(from http://jacqueline-html.themerex.net/)
21:45:12	398799/398799	---MCZ	200	added ('OK')	text/css	etag:W/%2259c91449-615cf%22	http://jacqueline-html.themerex.net/css/skin.css	C:/My%20Web%20Sites/spa/jacqueline-html.themerex.net/css/skin.css	(from http://jacqueline-html.themerex.net/)
